id;shape_Elongation;shape_Flatness;shape_LeastAxisLength;shape_MajorAxisLength;shape_Maximum2DDiameterColumn;shape_Maximum2DDiameterRow;shape_Maximum2DDiameterSlice;shape_Maximum3DDiameter;shape_MeshVolume;shape_MinorAxisLength;shape_Sphericity;shape_SurfaceArea;shape_SurfaceVolumeRatio;shape_VoxelVolume;firstorder_10Percentile;firstorder_90Percentile;firstorder_Energy;firstorder_Entropy;firstorder_InterquartileRange;firstorder_Kurtosis;firstorder_Maximum;firstorder_MeanAbsoluteDeviation;firstorder_Mean;firstorder_Median;firstorder_Minimum;firstorder_Range;firstorder_RobustMeanAbsoluteDeviation;firstorder_RootMeanSquared;firstorder_Skewness;firstorder_TotalEnergy;firstorder_Uniformity;firstorder_Variance;glcm_Autocorrelation;glcm_ClusterProminence;glcm_ClusterShade;glcm_ClusterTendency;glcm_Contrast;glcm_Correlation;glcm_DifferenceAverage;glcm_DifferenceEntropy;glcm_DifferenceVariance;glcm_Id;glcm_Idm;glcm_Idmn;glcm_Idn;glcm_Imc1;glcm_Imc2;glcm_InverseVariance;glcm_JointAverage;glcm_JointEnergy;glcm_JointEntropy;glcm_MCC;glcm_MaximumProbability;glcm_SumAverage;glcm_SumEntropy;glcm_SumSquares;gldm_DependenceEntropy;gldm_DependenceNonUniformity;gldm_DependenceNonUniformityNormalized;gldm_DependenceVariance;gldm_GrayLevelNonUniformity;gldm_GrayLevelVariance;gldm_HighGrayLevelEmphasis;gldm_LargeDependenceEmphasis;gldm_LargeDependenceHighGrayLevelEmphasis;gldm_LargeDependenceLowGrayLevelEmphasis;gldm_LowGrayLevelEmphasis;gldm_SmallDependenceEmphasis;gldm_SmallDependenceHighGrayLevelEmphasis;gldm_SmallDependenceLowGrayLevelEmphasis;glrlm_GrayLevelNonUniformity;glrlm_GrayLevelNonUniformityNormalized;glrlm_GrayLevelVariance;glrlm_HighGrayLevelRunEmphasis;glrlm_LongRunEmphasis;glrlm_LongRunHighGrayLevelEmphasis;glrlm_LongRunLowGrayLevelEmphasis;glrlm_LowGrayLevelRunEmphasis;glrlm_RunEntropy;glrlm_RunLengthNonUniformity;glrlm_RunLengthNonUniformityNormalized;glrlm_RunPercentage;glrlm_RunVariance;glrlm_ShortRunEmphasis;glrlm_ShortRunHighGrayLevelEmphasis;glrlm_ShortRunLowGrayLevelEmphasis;glszm_GrayLevelNonUniformity;glszm_GrayLevelNonUniformityNormalized;glszm_GrayLevelVariance;glszm_HighGrayLevelZoneEmphasis;glszm_LargeAreaEmphasis;glszm_LargeAreaHighGrayLevelEmphasis;glszm_LargeAreaLowGrayLevelEmphasis;glszm_LowGrayLevelZoneEmphasis;glszm_SizeZoneNonUniformity;glszm_SizeZoneNonUniformityNormalized;glszm_SmallAreaEmphasis;glszm_SmallAreaHighGrayLevelEmphasis;glszm_SmallAreaLowGrayLevelEmphasis;glszm_ZoneEntropy;glszm_ZonePercentage;glszm_ZoneVariance;ngtdm_Busyness;ngtdm_Coarseness;ngtdm_Complexity;ngtdm_Contrast;ngtdm_Strength;classe;
segmento_21;0,350490698;0;0;43,61627516;37,95;13,8;40,75392619;40,75392619;495,00375;15,28709871;0,278224485;1087,663205;2,197282759;498,8025;166,8;213;774535240;1,603443032;27;2,163394507;240;14,92746379;186,1021246;182;151;89;11,80422199;186,9164566;0,473659672;17427042,9;0,343106495;303,7609631;4,234023687;10,25803779;0,908067812;2,291450449;0,11973519;0,900698374;0,11973519;0,525774737;0,105007747;0,940132405;0,940132405;0,992956754;0,976052962;-0,639356095;0,93273511;0,11973519;1,921220229;0,268247666;2,181045951;0,925394895;0,354948943;3,842440458;2,06131076;0,60279641;3,454825925;9391,452343;0,423629949;2,736808431;7606,32789;0,60288406;4,285218097;66,10541747;288,9486671;30,5662897;0,468419051;0,023275621;0,1001014;0,010671664;1078,809208;0,374022432;0,564274454;3,945185563;292,526319;1473,928358;115,5066267;0,490711863;5,408784334;313,2294099;0,111908407;0,129944968;225,2554449;0,299056543;1,209821567;0,144089632;53,72592593;0,397969822;0,669080933;5,251851852;887281;3706306,541;415057,078;0,351646091;32,43703704;0,240274348;0,502757543;2,461317994;0,185082601;4,304313903;0,006089585;860314,4946;167,6210777;0,001074576;0,816513575;0,011979441;0,006630341;'Masculino';
segmento_22;0,248802008;0;0;47,57339288;41,4;10,8;43,2564735;43,2564735;417,688125;11,83635569;0,289434161;933,6177262;2,235202943;421,5375;181;203;693819737;0,91305139;12;3,408405242;229;7,1081386;192,2298906;193;153;76;5,007679476;192,4404999;-0,234032055;15610944,08;0,626860279;81,01515139;4,923172542;1,642662151;0,422277097;0,666947299;0,126319475;0,680572974;0,126319475;0,541017916;0,109493259;0,936840263;0,936840263;0,992569443;0,974736105;-0,394667883;0,702967055;0,126319475;2,188150586;0,526127205;1,431586772;0,688265453;0,703462119;4,376301173;1,305267297;0,198316694;2,703796121;7713,58703;0,411720685;2,942284991;11744,22733;0,203921567;4,971390446;65,24649053;312,070403;15,44945252;0,240974632;0,024621738;0,136718198;0,006423947;1102,0916;0,427960668;0,394937516;5,820165871;347,0966163;1472,867262;86,41519606;0,257381475;4,971350089;359,7552318;0,135631173;0,138337337;277,4704208;0,331776358;1,987919805;0,096241023;75,43786982;0,446377928;0,639823536;6,75739645;1202613,947;4997924,278;295648,9582;0,294337607;27,5443787;0,162984489;0,405232942;2,77534735;0,11517234;4,802764239;0,00902055;1190324,453;107,9160418;0,00089467;0,856133001;0,004303013;0,005241565;'Masculino';
segmento_23;0,353989366;0;0;40,77160568;36;13,2;37,15218702;37,15218702;439,42875;14,43271486;0,288177535;969,9506693;2,207299066;442,935;199;226;879672635;1,098582455;14;5,218575303;248;9,343046678;211,0017779;211;153;95;6,044828155;211,3887159;-0,951089263;19792634,29;0,609515389;163,4389382;9,253730034;6,869292976;-0,803939729;1,041770951;0,086663603;0,84562588;0,086663603;0,423446766;0,078967958;0,956668199;0,956668199;0,994902141;0,982667279;-0,588461164;0,845616753;0,086663603;3,002487394;0,552452845;1,513817482;0,865215946;0,732009528;6,004974789;1,427153879;0,282108639;2,523610951;10591,94595;0,538044598;2,343377556;11998,91994;0,299623919;9,266432998;69,87259982;650,6569643;8,750760905;0,136426973;0,021785157;0,197891992;0,003596069;599,2263994;0,314638579;0,791787341;9,046099795;618,57103;5571,135596;74,323314;0,203835507;5,566941096;225,0301214;0,121488072;0,097797927;499,8934951;0,327773431;2,91288214;0,076041618;49,859375;0,389526367;0,928710938;9,015625;1796075,828;16252060,41;201305,8907;0,180989583;31,734375;0,247924805;0,514463169;4,38880046;0,09371715;4,272850385;0,006502083;1772422,349;47,15716977;0,001483167;0,539978393;0,004336807;0,008395345;'Masculino';
segmento_24;0,448870293;0;0;31,11513648;27,3;12,75;29,33641082;29,33641082;322,963125;13,96666043;0,315569135;721,3702549;2,233599439;325,845;160;200;466345190;1,428321934;22;2,78293018;238;12,50536678;178,7899461;177;144;94;9,164557823;179,4483541;0,496920588;10492766,78;0,40746999;235,8669394;7,526419429;6,931263476;1,011111768;1,654996975;0,131576997;0,852706222;0,131576997;0,554055666;0,113164221;0,934211502;0,934211502;0,994939346;0,978070501;-0,565514698;0,891524704;0,131576997;2,673116417;0,318095141;2,042978049;0,856916986;0,400272496;5,346232834;1,911401053;0,446643493;3,380048409;5613,567325;0,387623762;2,868673723;5900,980389;0,44954609;7,575887308;64,53487087;480,3046541;10,91802074;0,16918767;0,023958391;0,190455138;0,004275349;767,1003262;0,369513487;0,560375941;8,132613531;196,1068311;1363,378943;34,96162412;0,170130044;5,4902172;224,1386533;0,106476966;0,143402154;129,9546575;0,283981934;2,349092599;0,052027422;27,9;0,279;1,0211;9,03;717668,18;4900271;125842,8726;0,217469444;18,46;0,1846;0,434892315;3,758659456;0,101873109;4,947381028;0,006905124;696695,3476;51,04074315;0,001360705;1,41583666;0,005920856;0,013415016;'Feminino';
segmento_25;0,257866463;0;0;45,98777275;40,2;10,95;41,08193033;41,08193033;402,95625;11,8587043;0,292154233;903,0473826;2,241055655;406,665;171;213;663926960;1,47174329;24;2,395697939;232;13,08846679;191,0065287;191;147;85;9,859036199;191,6606749;-0,009220665;14938356,6;0,403004461;250,320307;10,54792807;6,830611173;-0,178329916;1,680311263;0,106477612;0,88054088;0,106477612;0,485852234;0,0947275;0,946761194;0,946761194;0,995904707;0,982253731;-0,629040099;0,915025155;0,106477612;3,186600816;0,337222819;1,992421001;0,897298081;0,488604515;6,373201631;1,88594339;0,446697219;3,171275527;8270,800598;0,457607646;2,585109519;7283,902623;0,45849648;10,53773376;67,34690716;725,0807237;7,485342343;0,116752441;0,022720984;0,229168157;0,00325235;722,4053452;0,335815384;0,65359105;9,471426363;345,9800909;4018,243173;34,31017123;0,145135722;5,555840687;217,9396088;0,105255508;0,119066062;261,4446697;0,290905393;2,740544946;0,046914369;30,27731092;0,254431184;1,229574183;9,781512605;826314,5882;9105446,059;83032,11697;0,207959851;27,45378151;0,230704046;0,493690466;4,781681992;0,114978661;4,77266903;0,006584043;803246,3391;39,69302715;0,001428648;1,113901428;0,004885772;0,012923534;'Masculino';
segmento_26;0,407124537;0;0;42,0028754;36,9;15,3;39,64230695;39,64230695;536,3475;17,10040119;0,272476455;1171,617863;2,184438005;540,1575;174;199;840729645;0,896058457;13;3,444569813;226;7,696956756;186,8830341;187;143;83;5,615758986;187,1368153;-0,23147493;18916417,01;0,674504494;94,91921355;9,08506138;2,421661852;-0,047112625;0,655895751;0,08461008;0,770851656;0,08461008;0,414872081;0,077121594;0,95769496;0,95769496;0,996745766;0,98589832;-0,51716477;0,768830725;0,08461008;2,99035602;0,611003596;1,299078339;0,774149461;0,773959544;5,98071204;1,21446826;0,185126458;2,292044291;12971,19603;0,540308911;2,162827129;16192,82938;0,191504585;9,100512351;70,12175615;637,9065273;8,286214125;0,121465232;0,020949258;0,198250878;0,002759967;822,6038702;0,363085821;0,536173281;9,217577538;565,5564928;5079,16078;64,79445463;0,142854637;5,602445347;206,070115;0,094665456;0,094534927;425,5651283;0,266295991;2,560370798;0,041408409;61,98089172;0,39478275;0,972615522;10,7133758;2408828,911;21725661,52;267737,3938;0,157190375;36,43949045;0,232098665;0,49635204;5,606660263;0,070076662;4,499322486;0,006539759;2385447,19;43,65664022;0,001099291;0,924057379;0,001631543;0,010715956;'Masculino';
segmento_27;0,399546791;0;0;28,79233963;25,05;10,35;27,13010321;27,13010321;245,85;11,5038869;0,34045101;557,4547743;2,267458915;248,445;185;206;423101066;0,90517347;11;3,119180569;229;6,566189604;195,5725412;195;167;62;4,61396659;195,7483853;0,213866168;9519773,985;0,573548852;68,81148293;5,458845722;1,036511512;0,515609192;0,722983915;0,134286506;0,686744146;0,134286506;0,565066813;0,115642866;0,932856747;0,932856747;0,992100794;0,973142699;-0,386756676;0,703815335;0,134286506;2,304705714;0,460156553;1,452686479;0,688241422;0,628038159;4,609411428;1,318399973;0,214317605;2,872917153;4113,075349;0,372493692;3,015552742;6333,126426;0,215378048;5,532240536;64,11918131;339,8725774;13,71699282;0,208133968;0,02569438;0,160211484;0,005073588;803,1732787;0,492083424;0,266923971;6,466796652;165,1441479;805,5543561;37,26814698;0,185377802;4,819514886;200,2651678;0,120714186;0,147889875;111,5878533;0,314580827;2,131836003;0,057963255;49,62;0,4962;0,3644;7,44;550675,64;2405064,93;132047,9991;0,185486111;20,3;0,203;0,460576989;3,437877769;0,08796453;4,265406083;0,00905633;538483,0636;72,62100798;0,001358241;0,934387982;0,004821393;0,008107776;'Masculino';
segmento_28;0,255031564;0;0;28,44831487;24,9;6,75;25,32113742;25,32113742;152,5875;7,255218236;0,379757793;363,6275124;2,383075366;154,89;186;229;316778052;1,632666104;20;3,616434137;255;13,73190458;213,8239396;221;154;101;9,273040045;214,5147261;-1,14466148;7127506,17;0,369870969;295,89056;10,00978434;16,09037693;-2,389049632;2,226550808;0,172609703;0,85553753;0,172609703;0,657743094;0,141719946;0,913695149;0,913695149;0,993361165;0,971231716;-0,552673212;0,909925697;0,172609703;3,081590778;0,268393809;2,332094136;0,930354409;0,42828476;6,163181557;2,159484433;0,599790128;3,919399985;1928,509587;0,280143752;3,440664269;2546,191749;0,623658056;10,02905288;59,26873911;589,0929692;8,719911873;0,155859642;0,029204533;0,309905315;0,004694229;458,3259347;0,352611506;0,763033751;10,43004439;139,6970027;1240,162795;22,84431575;0,175053488;4,889817435;179,4123142;0,138634967;0,191022661;106,5637659;0,337690533;3,767083478;0,058262498;30,52631579;0,40166205;0,729051247;11,98684211;189079,3421;1810049,395;22303,65298;0,149831871;13,94736842;0,183518006;0,425916935;5,14832484;0,042635487;4,225280044;0,011040093;180874,7964;25,5165494;0,002340914;1,773798186;0,010708505;0,022234254;'Masculino';
segmento_29;0,291400681;0;0;32,45306263;28,65;8,55;29,44932088;29,44932088;228,80625;9,45684455;0,343083717;527,3058703;2,304595571;231,48;180;211;411059521;1,207736611;11;4,768001983;243;9,050582172;199,500486;203;151;92;5,423374631;199,8880716;-1,255301442;9248839,223;0,50927289;154,7972393;7,162220111;6,459204751;-1,807866622;1,307367044;0,123438615;0,826420418;0,122842567;0,53540485;0,107763309;0,938678058;0,938638321;0,992749423;0,975451355;-0,526064704;0,839415478;0,122321024;2,620336369;0,431027371;1,731027245;0,841354085;0,614707642;5,240672737;1,605371968;0,357701415;3,024576817;4163,341369;0,404679371;2,935325155;5239,399495;0,378381161;7,154160187;65,26671851;489,9974728;12,01600908;0,205729842;0,026622018;0,155708379;0,007579511;546,254087;0,388284561;0,487444438;5,645640303;236,5589116;1907,365569;36,6121182;0,295877321;5,112711528;160,8814738;0,116138567;0,138122084;172,8263565;0,305880024;1,473568993;0,109290007;55,2037037;0,511145405;0,372685185;4,046296296;444483,5926;3866191,87;55224,98669;0,393389918;32,22222222;0,298353909;0,566086115;2,3066619;0,214494686;3,674483093;0,010497667;435409,2661;40,26269496;0,001966279;0,790936579;0,007736212;0,010389318;'Masculino';
segmento_30;0,177000147;0;0;41,06367011;35,25;6,75;35,53607322;35,53607322;217,73625;7,268275663;0,34049009;514,0438179;2,360855475;220,815;181;219;418824981;1,078822327;12;4,51704389;246;10,82859611;206,057367;211;154;92;6,248019365;206,582373;-1,38146613;9423562,073;0,612236156;216,6383434;7,921635436;9,436455732;-2,458427188;1,293202165;0,061774658;0,907766014;0,061774658;0,329976783;0,057643598;0,969112671;0,969112671;0,996366197;0,987645068;-0,684659734;0,869247919;0,061774658;2,75929044;0,588795244;1,365528583;0,91386871;0,75577312;5,51858088;1,303753925;0,338744206;2,156408431;5985,117995;0,609855104;1,826629434;6008,485633;0,365212776;7,882107194;71,50336254;584,9493581;11,78690094;0,18905461;0,017875278;0,131887732;0,004050799;248,9030607;0,310295781;0,751734954;5,829774112;1302,783746;11100,43268;183,5168491;0,354592602;4,91765172;81,98571936;0,107461705;0,081592623;1036,148647;0,232250275;1,229582618;0,082773095;11,16;0,4464;0,88;7,64;2334751,76;20584740,28;282626,9869;0,216388889;5,56;0,2224;0,464843497;4,129386072;0,078311448;3,54346519;0,002547381;2180648,406;14,59467608;0,004964027;0,354566583;0,003755036;0,022114842;'Masculino';
